time_s,volts
3.44e-05,1.54811972e-05
3.46e-05,1.05804479e-05
3.48e-05,5.39410405e-06
3.5e-05,1.91984791e-19
3.52e-05,-5.51884112e-06
3.54e-05,-1.10754618e-05
3.56e-05,-1.65803179e-05
3.58e-05,-2.1942699e-05
3.6e-05,-2.70721989e-05
3.62e-05,-3.18802133e-05
3.64e-05,-3.62814397e-05
3.66e-05,-4.01953547e-05
3.68e-05,-4.3547644e-05
3.7e-05,-4.62715596e-05
3.72e-05,-4.83091804e-05
3.74e-05,-4.96125537e-05
3.76e-05,-5.01446952e-05
3.78e-05,-4.98804283e-05
3.8e-05,-4.88070461e-05
3.82e-05,-4.69247806e-05
3.84e-05,-4.42470681e-05
3.86e-05,-4.08006016e-05
3.88e-05,-3.66251657e-05
3.9e-05,-3.17732522e-05
3.92e-05,-2.63094584e-05
3.94e-05,-2.03096734e-05
3.96e-05,-1.38600624e-05
3.98e-05,-7.05586172e-06
4e-05,-5.57108111e-20
4.02e-05,7.1984336e-06
4.04e-05,1.44258531e-05
4.06e-05,2.15659455e-05
4.08e-05,2.850152e-05
4.1e-05,3.51164068e-05
4.12e-05,4.12973763e-05
4.14e-05,4.69360461e-05
4.16e-05,5.19307452e-05
4.18e-05,5.61883025e-05
4.2e-05,5.96257309e-05
4.22e-05,6.21717741e-05
4.24e-05,6.37682919e-05
4.26e-05,6.43714543e-05
4.28e-05,6.39527247e-05
4.3e-05,6.24996098e-05
4.32e-05,6.00161602e-05
4.34e-05,5.65232103e-05
4.36e-05,5.20583466e-05
4.38e-05,4.66756018e-05
4.4e-05,4.04448744e-05
4.42e-05,3.3451078e-05
4.44e-05,2.57930301e-05
4.46e-05,1.75820935e-05
4.48e-05,8.9405888e-06
4.5e-05,7.93274235e-20
4.52e-05,-9.10100159e-06
4.54e-05,-1.82186851e-05
4.56e-05,-2.72065074e-05
4.58e-05,-3.59174459e-05
4.6e-05,-4.42063787e-05
4.62e-05,-5.19324751e-05
4.64e-05,-5.89615574e-05
4.66e-05,-6.51683936e-05
4.68e-05,-7.04388841e-05
4.7e-05,-7.46721037e-05
